,sex,age,studytime,failures,Dalc,Walc,G1,G2,G3
0,F,18,2,0,1,1,5,6,6
1,F,17,2,0,1,1,5,5,6
2,F,15,2,3,2,3,7,8,10
3,F,15,3,0,1,1,15,14,15
4,F,16,2,0,1,2,6,10,10
5,M,16,2,0,1,2,15,15,15
6,M,16,2,0,1,1,12,12,11
7,F,17,2,0,1,1,6,5,6
8,M,15,2,0,1,1,16,18,19
9,M,15,2,0,1,1,14,15,15
10,F,15,2,0,1,2,10,8,9
11,F,15,3,0,1,1,10,12,12
12,M,15,1,0,1,3,14,14,14
13,M,15,2,0,1,2,10,10,11
14,M,15,3,0,1,1,14,16,16
15,F,16,1,0,1,2,14,14,14
16,F,16,3,0,1,2,13,14,14
17,F,16,2,0,1,1,8,10,10
18,M,17,1,3,2,4,6,5,5
19,M,16,1,0,1,3,8,10,10
20,M,15,2,0,1,1,13,14,15
21,M,15,1,0,1,1,12,15,15
22,M,16,2,0,1,3,15,15,16
23,M,16,2,0,2,4,13,13,12
25,F,16,1,2,1,3,6,9,8
26,M,15,1,0,1,2,12,12,11
27,M,15,1,0,2,4,15,16,15
28,M,16,2,0,1,1,11,11,11
29,M,16,2,0,5,5,10,12,11
30,M,15,2,0,3,4,9,11,12
31,M,15,2,0,1,1,17,16,17
33,M,15,2,0,1,1,8,10,12
34,M,16,1,0,1,1,12,14,15
35,F,15,1,0,1,1,8,7,6
36,M,15,3,0,1,1,15,16,18
40,F,16,2,1,1,2,7,10,11
41,M,15,1,0,2,4,12,12,12
42,M,15,2,0,1,1,19,18,18
43,M,15,1,0,1,1,8,8,11
44,F,16,2,1,2,2,10,10,9
45,F,15,2,0,1,1,8,8,6
46,F,16,2,0,1,4,11,12,11
47,M,16,4,0,1,1,19,19,20
48,M,15,2,0,2,2,15,15,14
49,F,15,2,1,1,1,7,7,7
50,F,16,2,0,2,3,12,13,13
51,F,15,2,0,1,1,11,13,13
52,M,15,1,1,3,4,11,11,10
53,F,15,1,0,2,3,8,10,11
54,F,15,1,0,4,4,10,13,13
55,F,16,2,0,1,1,8,9,10
56,F,15,2,0,1,1,14,15,15
57,M,15,2,0,1,1,14,15,15
58,M,15,2,0,1,1,9,10,9
59,F,16,2,0,1,1,15,16,16
61,F,16,1,0,5,5,10,8,11
62,F,16,2,0,1,1,8,10,9
63,F,16,3,0,2,4,10,9,9
64,F,15,2,0,2,4,10,10,10
65,F,16,2,0,1,2,16,15,15
66,M,15,4,0,5,5,13,13,12
67,F,16,4,0,1,2,7,7,6
70,M,16,4,0,1,1,13,15,15
71,M,15,4,0,1,1,10,10,10
73,M,16,1,0,2,2,12,12,14
74,F,16,2,0,2,4,11,12,11
75,M,15,2,0,2,3,9,9,10
76,M,15,4,0,1,1,11,11,10
77,F,16,4,0,1,3,11,11,11
78,M,17,1,3,1,1,8,8,10
79,F,16,2,0,1,2,5,5,5
80,M,15,1,0,1,3,10,12,12
81,M,15,3,0,1,2,11,10,11
82,F,15,2,0,1,1,7,6,6
83,M,15,2,0,1,3,15,15,15
84,F,15,2,0,2,3,9,10,10
85,F,15,2,2,2,3,7,9,8
86,F,16,2,0,1,2,8,7,6
87,F,15,3,0,1,3,13,14,14
88,M,16,2,1,1,1,11,10,10
89,M,16,2,0,3,5,8,6,7
90,F,16,3,0,1,3,7,7,8
91,F,15,1,0,1,3,16,17,18
92,F,16,2,0,2,3,7,6,6
